alabama	66	33	Trump
washington	43	55	Biden
oregon	42	55	Biden
california	34	64	Biden
nevada	46	52	Biden
idaho	69	30	Trump
utah	59	36	Trump
arizona	45	54	Biden
new-mexico	46	52	Biden
colorado	45	52	Biden
montana	61	36	Trump
oklahoma	78	22	Trump
texas	49	50	Biden
louisiana	65	33	Trump
arkansas	62	31	Trump
missouri	59	39	Trump
iowa	54	44	Trump
minnesota	44	54	Biden
wisconsin	54	44	Trump
michigan	50	47	Trump
illinois	45	53	Biden
mississippi	54	44	Trump
georgia	49	49	Trump
florida	54	45	Trump
north-carolina	53	46	Trump
virginia	49	49	Trump
west-virginia	71	29	Trump
kentucky	61	37	Trump
pennsylvania	51	48	Trump
new-york	45	54	Biden
new-jersey	42	56	Biden
massachusetts	32	65	Biden
maine	48	49	Biden
new-hampshire	55	42	Trump
connecticut	40	59	Biden
maryland	34	64	Biden
ohio	56	42	Trump
indiana	60	38	Trump
nebraska	63	35	Trump
kansas	55	41	Trump
tennessee	62	34	Trump
delaware	45	51	Biden
alaska	52	46	Trump
south-carolina	58	41	Trump
